date,nav
2019-04-16,10218.0000
2019-04-17,10201.0000
2019-04-18,10217.0000
2019-04-19,10207.0000
2019-04-22,10210.0000
2019-04-23,10216.0000
2019-04-24,10223.0000
2019-04-25,10213.0000
2019-04-26,10225.0000
2019-05-07,10235.0000
2019-05-08,10239.0000
2019-05-09,10235.0000
2019-05-10,10233.0000
2019-05-13,10230.0000
2019-05-14,10235.0000
2019-05-15,10235.0000
2019-05-16,10248.0000
2019-05-17,10239.0000
2019-05-20,10228.0000
2019-05-21,10232.0000
2019-05-22,10241.0000
2019-05-23,10248.0000
2019-05-24,10255.0000
2019-05-27,10252.0000
2019-05-28,10262.0000
2019-05-29,10281.0000
2019-05-30,10268.0000
2019-05-31,10289.0000
2019-06-03,10281.0000
2019-06-04,10295.0000
2019-06-05,10320.0000
2019-06-06,10318.0000
2019-06-07,10316.0000
2019-06-10,10334.0000
2019-06-11,10326.0000
2019-06-12,10331.0000
2019-06-13,10323.0000
2019-06-14,10332.0000
2019-06-17,10331.0000
2019-06-18,10336.0000
2019-06-19,10351.0000
2019-06-20,10385.0000
2019-06-21,10371.0000
2019-06-24,10354.0000
2019-06-25,10354.0000
2019-06-26,10340.0000
2019-06-27,10329.0000
2019-06-28,10350.0000
2019-07-01,10335.0000
2019-07-02,10332.0000
2019-07-03,10358.0000
2019-07-04,10361.0000
2019-07-05,10368.0000
2019-07-08,10353.0000
2019-07-09,10354.0000
2019-07-10,10334.0000
2019-07-11,10346.0000
2019-07-12,10320.0000
2019-07-16,10327.0000
2019-07-17,10331.0000
2019-07-18,10342.0000
2019-07-19,10340.0000
2019-07-22,10340.0000
2019-07-23,10347.0000
2019-07-24,10351.0000
2019-07-25,10357.0000
2019-07-26,10354.0000
2019-07-29,10348.0000
2019-07-30,10354.0000
2019-07-31,10360.0000
2019-08-01,10341.0000
2019-08-02,10378.0000
2019-08-05,10406.0000
2019-08-06,10391.0000
2019-08-07,10413.0000
2019-08-08,10418.0000
2019-08-09,10450.0000
2019-08-13,10473.0000
2019-08-14,10454.0000
2019-08-15,10481.0000
2019-08-16,10466.0000
2019-08-19,10456.0000
2019-08-20,10462.0000
2019-08-21,10470.0000
2019-08-22,10467.0000
2019-08-23,10456.0000
2019-08-26,10499.0000
2019-08-27,10485.0000
2019-08-28,10487.0000
2019-08-29,10507.0000
2019-08-30,10499.0000
2019-09-02,10493.0000
2019-09-03,10508.0000
2019-09-04,10516.0000
2019-09-05,10493.0000
2019-09-06,10454.0000
2019-09-09,10457.0000
2019-09-10,10416.0000
2019-09-11,10402.0000
2019-09-12,10406.0000
2019-09-13,10357.0000
2019-09-17,10356.0000
2019-09-18,10381.0000
2019-09-19,10410.0000
2019-09-20,10390.0000
2019-09-24,10403.0000
2019-09-25,10408.0000
2019-09-26,10408.0000
2019-09-27,10409.0000
2019-09-30,10386.0000
2019-10-01,10326.0000
2019-10-02,10356.0000
2019-10-03,10388.0000
2019-10-04,10398.0000
2019-10-07,10402.0000
2019-10-08,10378.0000
2019-10-09,10381.0000
2019-10-10,10387.0000
2019-10-11,10360.0000
2019-10-15,10356.0000
2019-10-16,10351.0000
2019-10-17,10348.0000
2019-10-18,10338.0000
2019-10-21,10325.0000
2019-10-23,10330.0000
2019-10-24,10342.0000
2019-10-25,10337.0000
2019-10-28,10328.0000
2019-10-29,10309.0000
2019-10-30,10321.0000
2019-10-31,10343.0000
2019-11-01,10382.0000
2019-11-05,10341.0000
2019-11-06,10302.0000
2019-11-07,10302.0000
2019-11-08,10272.0000
2019-11-11,10276.0000
2019-11-12,10250.0000
2019-11-13,10261.0000
2019-11-14,10285.0000
2019-11-15,10278.0000
2019-11-18,10293.0000
2019-11-19,10298.0000
2019-11-20,10315.0000
2019-11-21,10324.0000
2019-11-22,10293.0000
2019-11-25,10294.0000
2019-11-26,10309.0000
2019-11-27,10329.0000
2019-11-28,10311.0000
2019-11-29,10305.0000
2019-12-02,10279.0000
2019-12-03,10263.0000
2019-12-04,10279.0000
2019-12-05,10286.0000
2019-12-06,10260.0000
2019-12-09,10253.0000
2019-12-10,10267.0000
2019-12-11,10252.0000
2019-12-12,10265.0000
2019-12-13,10266.0000
2019-12-16,10274.0000
2019-12-17,10264.0000
2019-12-18,10264.0000
2019-12-19,10258.0000
2019-12-20,10239.0000
2019-12-23,10241.0000
2019-12-24,10238.0000
2019-12-25,10260.0000
2019-12-26,10259.0000
2019-12-27,10260.0000
2019-12-30,10273.0000
2020-01-06,10283.0000
2020-01-07,10258.0000
2020-01-08,10270.0000
2020-01-09,10260.0000
2020-01-10,10255.0000
2020-01-14,10242.0000
2020-01-15,10244.0000
2020-01-16,10242.0000
2020-01-17,10247.0000
2020-01-20,10238.0000
2020-01-21,10259.0000
2020-01-22,10257.0000
2020-01-23,10279.0000
2020-01-24,10280.0000
2020-01-27,10306.0000
2020-01-28,10298.0000
2020-01-29,10302.0000
2020-01-30,10318.0000
2020-01-31,10316.0000
2020-02-03,10309.0000
2020-02-04,10299.0000
2020-02-05,10282.0000
2020-02-06,10271.0000
2020-02-07,10293.0000
2020-02-10,10311.0000
2020-02-12,10297.0000
2020-02-13,10289.0000
2020-02-14,10286.0000
2020-02-17,10299.0000
2020-02-18,10315.0000
2020-02-19,10307.0000
2020-02-20,10307.0000
2020-02-21,10323.0000
2020-02-25,10349.0000
2020-02-26,10337.0000
2020-02-27,10345.0000
2020-02-28,10396.0000
2020-03-02,10385.0000
2020-03-03,10356.0000
2020-03-04,10377.0000
2020-03-05,10342.0000
2020-03-06,10378.0000
2020-03-09,10413.0000
2020-03-10,10332.0000
2020-03-11,10346.0000
2020-03-12,10322.0000
2020-03-13,10269.0000
2020-03-16,10253.0000
2020-03-17,10260.0000
2020-03-18,10224.0000
2020-03-19,10188.0000
2020-03-23,10208.0000
2020-03-24,10224.0000
2020-03-25,10225.0000
2020-03-26,10233.0000
2020-03-27,10226.0000
2020-03-30,10239.0000
2020-03-31,10226.0000
2020-04-01,10243.0000
2020-04-02,10260.0000
2020-04-03,10257.0000
2020-04-06,10237.0000
2020-04-07,10228.0000
2020-04-08,10224.0000
2020-04-09,10215.0000
2020-04-10,10229.0000
2020-04-13,10223.0000
2020-04-14,10213.0000
2020-04-15,10208.0000
2020-04-16,10216.0000
2020-04-17,10198.0000
2020-04-20,10206.0000
2020-04-21,10210.0000
2020-04-22,10238.0000
2020-04-23,10247.0000
2020-04-24,10253.0000
2020-04-27,10254.0000
2020-04-28,10266.0000
2020-04-30,10259.0000
2020-05-01,10250.0000
2020-05-07,10231.0000
2020-05-08,10230.0000
2020-05-11,10219.0000
2020-05-12,10232.0000
2020-05-13,10229.0000
2020-05-14,10232.0000
2020-05-15,10222.0000
2020-05-18,10231.0000
2020-05-19,10221.0000
2020-05-20,10227.0000
2020-05-21,10239.0000
2020-05-22,10241.0000
2020-05-25,10224.0000
2020-05-26,10222.0000
2020-05-27,10227.0000
2020-05-28,10227.0000
2020-05-29,10214.0000
2020-06-01,10211.0000
2020-06-02,10210.0000
2020-06-03,10206.0000
2020-06-04,10187.0000
2020-06-05,10171.0000
2020-06-08,10169.0000
2020-06-09,10195.0000
2020-06-10,10193.0000
2020-06-11,10210.0000
2020-06-12,10199.0000
2020-06-15,10211.0000
2020-06-16,10192.0000
2020-06-17,10191.0000
2020-06-18,10191.0000
2020-06-19,10188.0000
2020-06-22,10192.0000
2020-06-23,10190.0000
2020-06-24,10186.0000
2020-06-25,10187.0000
2020-06-26,10188.0000
2020-06-29,10187.0000
2020-06-30,10172.0000
2020-07-01,10153.0000
2020-07-02,10152.0000
2020-07-03,10171.0000
2020-07-06,10156.0000
2020-07-07,10161.0000
2020-07-08,10187.0000
2020-07-09,10192.0000
2020-07-10,10191.0000
2020-07-13,10169.0000
2020-07-14,10175.0000
2020-07-15,10171.0000
2020-07-16,10181.0000
2020-07-17,10187.0000
2020-07-20,10177.0000
2020-07-21,10188.0000
2020-07-22,10188.0000
2020-07-27,10186.0000
2020-07-28,10188.0000
2020-07-29,10199.0000
2020-07-30,10200.0000
2020-07-31,10207.0000
2020-08-03,10192.0000
2020-08-04,10198.0000
2020-08-05,10204.0000
2020-08-06,10197.0000
2020-08-07,10201.0000
2020-08-11,10184.0000
2020-08-12,10168.0000
2020-08-13,10173.0000
2020-08-14,10156.0000
