date,nav
2017-12-12,10813.0000
2017-12-13,10771.0000
2017-12-14,10768.0000
2017-12-15,10718.0000
2017-12-18,10739.0000
2017-12-19,10735.0000
2017-12-20,10745.0000
2017-12-21,10751.0000
2017-12-22,10766.0000
2017-12-25,10749.0000
2017-12-26,10777.0000
2017-12-27,10782.0000
2017-12-28,10829.0000
2017-12-29,10791.0000
2018-01-04,10779.0000
2018-01-05,10825.0000
2018-01-09,10820.0000
2018-01-10,10700.0000
2018-01-11,10607.0000
2018-01-12,10623.0000
2018-01-15,10660.0000
2018-01-16,10689.0000
2018-01-17,10675.0000
2018-01-18,10716.0000
2018-01-19,10705.0000
2018-01-22,10670.0000
2018-01-23,10707.0000
2018-01-24,10663.0000
2018-01-25,10629.0000
2018-01-26,10657.0000
2018-01-29,10550.0000
2018-01-30,10537.0000
2018-01-31,10524.0000
2018-02-01,10575.0000
2018-02-02,10624.0000
2018-02-05,10595.0000
2018-02-06,10488.0000
2018-02-07,10550.0000
2018-02-08,10474.0000
2018-02-09,10402.0000
2018-02-13,10407.0000
2018-02-14,10340.0000
2018-02-15,10275.0000
2018-02-16,10248.0000
2018-02-19,10241.0000
2018-02-20,10266.0000
2018-02-21,10302.0000
2018-02-22,10260.0000
2018-02-23,10243.0000
2018-02-26,10248.0000
2018-02-27,10269.0000
2018-02-28,10252.0000
2018-03-01,10184.0000
2018-03-02,10200.0000
2018-03-05,10139.0000
2018-03-06,10207.0000
2018-03-07,10166.0000
2018-03-08,10222.0000
2018-03-09,10255.0000
2018-03-12,10271.0000
2018-03-13,10238.0000
2018-03-14,10301.0000
2018-03-15,10251.0000
2018-03-16,10248.0000
2018-03-19,10199.0000
2018-03-20,10254.0000
2018-03-22,10209.0000
2018-03-23,10169.0000
2018-03-26,10196.0000
2018-03-27,10283.0000
2018-03-28,10277.0000
2018-03-29,10376.0000
2018-03-30,10320.0000
2018-04-02,10342.0000
2018-04-03,10291.0000
2018-04-04,10336.0000
2018-04-05,10370.0000
2018-04-06,10363.0000
2018-04-09,10364.0000
2018-04-10,10372.0000
2018-04-11,10414.0000
2018-04-12,10418.0000
2018-04-13,10427.0000
2018-04-16,10444.0000
2018-04-17,10420.0000
2018-04-18,10438.0000
2018-04-19,10449.0000
2018-04-20,10389.0000
2018-04-23,10380.0000
2018-04-24,10415.0000
2018-04-25,10438.0000
2018-04-26,10457.0000
2018-04-27,10444.0000
2018-05-01,10452.0000
2018-05-02,10446.0000
2018-05-07,10350.0000
2018-05-08,10342.0000
2018-05-09,10321.0000
2018-05-10,10371.0000
2018-05-11,10365.0000
2018-05-14,10371.0000
2018-05-15,10383.0000
2018-05-16,10356.0000
2018-05-17,10344.0000
2018-05-18,10379.0000
2018-05-21,10382.0000
2018-05-22,10384.0000
2018-05-23,10371.0000
2018-05-24,10251.0000
2018-05-25,10270.0000
2018-05-28,10272.0000
2018-05-29,10211.0000
2018-05-30,10112.0000
2018-05-31,10173.0000
2018-06-01,10235.0000
2018-06-04,10282.0000
2018-06-05,10311.0000
2018-06-06,10311.0000
2018-06-07,10315.0000
2018-06-08,10290.0000
2018-06-11,10241.0000
2018-06-12,10312.0000
2018-06-13,10322.0000
2018-06-14,10335.0000
2018-06-15,10294.0000
2018-06-18,10315.0000
2018-06-19,10294.0000
2018-06-20,10278.0000
2018-06-21,10300.0000
2018-06-22,10280.0000
2018-06-25,10263.0000
2018-06-26,10273.0000
2018-06-27,10270.0000
2018-06-28,10271.0000
2018-06-29,10323.0000
2018-07-02,10413.0000
2018-07-03,10408.0000
2018-07-04,10388.0000
2018-07-05,10386.0000
2018-07-06,10425.0000
2018-07-09,10440.0000
2018-07-10,10486.0000
2018-07-11,10451.0000
