date,nav
2018-05-02,11244.0000
2018-05-07,11188.0000
2018-05-08,11226.0000
2018-05-09,11251.0000
2018-05-10,11411.0000
2018-05-11,11458.0000
2018-05-14,11474.0000
2018-05-15,11527.0000
2018-05-16,11510.0000
2018-05-17,11545.0000
2018-05-18,11620.0000
2018-05-21,11597.0000
2018-05-22,11670.0000
2018-05-23,11638.0000
2018-05-24,11480.0000
2018-05-25,11440.0000
2018-05-28,11406.0000
2018-05-29,11354.0000
2018-05-30,11119.0000
2018-05-31,11284.0000
2018-06-01,11250.0000
2018-06-04,11433.0000
2018-06-05,11514.0000
2018-06-06,11509.0000
2018-06-07,11632.0000
2018-06-08,11597.0000
2018-06-11,11557.0000
2018-06-12,11682.0000
2018-06-13,11704.0000
2018-06-14,11666.0000
2018-06-15,11697.0000
2018-06-18,11656.0000
2018-06-19,11585.0000
2018-06-20,11502.0000
2018-06-21,11568.0000
2018-06-22,11461.0000
2018-06-25,11483.0000
2018-06-26,11306.0000
2018-06-27,11348.0000
2018-06-28,11291.0000
2018-06-29,11375.0000
2018-07-02,11469.0000
2018-07-03,11461.0000
2018-07-04,11402.0000
2018-07-05,11404.0000
2018-07-06,11525.0000
2018-07-09,11599.0000
2018-07-10,11754.0000
2018-07-11,11767.0000
2018-07-12,11781.0000
2018-07-13,11943.0000
2018-07-17,11915.0000
2018-07-18,11994.0000
2018-07-19,12004.0000
2018-07-20,11947.0000
2018-07-23,11792.0000
2018-07-24,11812.0000
2018-07-25,11882.0000
2018-07-26,11898.0000
2018-07-27,11913.0000
2018-07-30,11877.0000
2018-07-31,11822.0000
2018-08-01,11960.0000
2018-08-02,11914.0000
2018-08-03,11915.0000
2018-08-06,11904.0000
2018-08-07,11939.0000
2018-08-08,11999.0000
2018-08-09,11938.0000
2018-08-10,11922.0000
2018-08-13,11751.0000
2018-08-14,11731.0000
2018-08-15,11837.0000
2018-08-16,11645.0000
2018-08-17,11766.0000
2018-08-20,11776.0000
2018-08-21,11767.0000
2018-08-22,11835.0000
2018-08-23,11893.0000
2018-08-24,11938.0000
2018-08-27,11986.0000
2018-08-28,12090.0000
2018-08-29,12093.0000
2018-08-30,12214.0000
2018-08-31,12076.0000
2018-09-03,12015.0000
2018-09-04,12029.0000
2018-09-05,12032.0000
2018-09-06,11949.0000
2018-09-07,11818.0000
2018-09-10,11828.0000
2018-09-11,11917.0000
2018-09-12,11965.0000
2018-09-13,11979.0000
2018-09-14,12110.0000
2018-09-18,12048.0000
2018-09-19,12156.0000
2018-09-20,12188.0000
2018-09-21,12329.0000
2018-09-25,12331.0000
2018-09-26,12329.0000
2018-09-27,12301.0000
2018-09-28,12381.0000
2018-10-01,12388.0000
2018-10-02,12425.0000
2018-10-03,12345.0000
2018-10-04,12435.0000
2018-10-05,12306.0000
2018-10-09,12055.0000
2018-10-10,12064.0000
2018-10-11,11665.0000
2018-10-12,11428.0000
2018-10-15,11509.0000
2018-10-16,11464.0000
2018-10-17,11729.0000
2018-10-18,11726.0000
2018-10-19,11546.0000
2018-10-22,11564.0000
2018-10-23,11539.0000
2018-10-24,11417.0000
2018-10-25,11094.0000
2018-10-26,11277.0000
2018-10-29,11075.0000
2018-10-30,11097.0000
2018-10-31,11291.0000
2018-11-01,11383.0000
2018-11-02,11519.0000
2018-11-05,11516.0000
2018-11-06,11553.0000
2018-11-07,11605.0000
2018-11-08,11847.0000
2018-11-09,11859.0000
2018-11-12,11742.0000
2018-11-13,11506.0000
2018-11-14,11558.0000
2018-11-15,11455.0000
2018-11-16,11524.0000
2018-11-19,11465.0000
2018-11-20,11312.0000
2018-11-21,11131.0000
2018-11-22,11223.0000
2018-11-26,11147.0000
2018-11-27,11346.0000
2018-11-28,11377.0000
2018-11-29,11567.0000
2018-11-30,11551.0000
2018-12-03,11613.0000
2018-12-04,11746.0000
2018-12-05,11378.0000
2018-12-06,11346.0000
2018-12-07,11234.0000
2018-12-10,11048.0000
2018-12-11,11051.0000
2018-12-12,11119.0000
2018-12-13,11211.0000
2018-12-14,11226.0000
2018-12-17,11029.0000
2018-12-18,10783.0000
2018-12-19,10736.0000
2018-12-20,10637.0000
2018-12-21,10376.0000
2018-12-25,9889.0000
2018-12-26,9946.0000
2018-12-27,10310.0000
2018-12-28,10346.0000
2019-01-04,9957.0000
2019-01-07,10358.0000
2019-01-08,10452.0000
2019-01-09,10538.0000
2019-01-10,10570.0000
2019-01-11,10632.0000
2019-01-15,10567.0000
2019-01-16,10656.0000
2019-01-17,10733.0000
2019-01-18,10836.0000
2019-01-21,11002.0000
2019-01-22,11001.0000
2019-01-23,10854.0000
2019-01-24,10878.0000
2019-01-25,10908.0000
2019-01-28,10980.0000
2019-01-29,10880.0000
2019-01-30,10911.0000
2019-01-31,11016.0000
2019-02-01,11079.0000
2019-02-04,11156.0000
2019-02-05,11256.0000
2019-02-06,11320.0000
2019-02-07,11296.0000
2019-02-08,11172.0000
2019-02-12,11248.0000
2019-02-13,11377.0000
2019-02-14,11447.0000
2019-02-15,11375.0000
2019-02-18,11517.0000
2019-02-19,11522.0000
2019-02-20,11571.0000
2019-02-21,11603.0000
2019-02-22,11573.0000
2019-02-25,11643.0000
2019-02-26,11691.0000
2019-02-27,11652.0000
2019-02-28,11675.0000
2019-03-01,11720.0000
2019-03-04,11837.0000
2019-03-05,11790.0000
2019-03-06,11758.0000
2019-03-07,11698.0000
2019-03-08,11586.0000
2019-03-11,11481.0000
2019-03-12,11690.0000
2019-03-13,11698.0000
2019-03-14,11787.0000
2019-03-15,11861.0000
2019-03-18,11892.0000
2019-03-19,11916.0000
2019-03-20,11961.0000
2019-03-22,11910.0000
2019-03-25,11604.0000
2019-03-26,11622.0000
2019-03-27,11725.0000
2019-03-28,11662.0000
2019-03-29,11755.0000
2019-04-01,11843.0000
2019-04-02,12010.0000
2019-04-03,12040.0000
2019-04-04,12098.0000
2019-04-05,12127.0000
2019-04-08,12132.0000
2019-04-09,12148.0000
2019-04-10,12061.0000
2019-04-11,12094.0000
2019-04-12,12168.0000
2019-04-15,12268.0000
2019-04-16,12266.0000
2019-04-17,12291.0000
2019-04-18,12266.0000
2019-04-19,12268.0000
2019-04-22,12266.0000
2019-04-23,12259.0000
2019-04-24,12350.0000
2019-04-25,12344.0000
2019-04-26,12279.0000
2019-05-07,12172.0000
2019-05-08,11938.0000
2019-05-09,11908.0000
2019-05-10,11829.0000
2019-05-13,11862.0000
2019-05-14,11589.0000
2019-05-15,11695.0000
2019-05-16,11750.0000
2019-05-17,11909.0000
2019-05-20,11869.0000
2019-05-21,11795.0000
2019-05-22,11917.0000
2019-05-23,11860.0000
2019-05-24,11663.0000
2019-05-27,11680.0000
