fund,date,nav,reinvest_nav,net_asset_value
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-07-05,10695,10695,47.35
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-07-08,10675,10675,47.26
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-07-09,10711,10711,47.57
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-07-10,10701,10701,47.66
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-07-11,10638,10638,47.47
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-07-12,10636,10636,47.79
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-07-16,10602,10602,47.74
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-07-17,10607,10607,47.99
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-07-18,10602,10602,48.53
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-07-19,10611,10611,48.63
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-07-22,10628,10628,48.88
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-07-23,10634,10634,48.99
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-07-24,10622,10622,49.01
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-07-25,10641,10641,49.17
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-07-26,10674,10674,49.46
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-07-29,10635,10635,49.39
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-07-30,10686,10686,49.81
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-07-31,10659,10659,49.92
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-01,10696,10696,50.24
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-02,10561,10561,49.7
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-05,10522,10522,49.75
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-06,10560,10560,50.05
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-07,10594,10594,50.26
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-08,10636,10636,50.56
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-09,10584,10584,50.44
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-13,10546,10546,50.56
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-14,10636,10636,51.11
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-15,10642,10642,51.62
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-16,10700,10700,51.98
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-19,10706,10706,52.54
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-20,10675,10675,52.61
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-21,10685,10685,52.77
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-22,10697,10697,52.89
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-23,10674,10674,52.89
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-26,10569,10569,52.53
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-27,10627,10627,52.83
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-28,10661,10661,53.0
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-29,10718,10718,53.63
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-08-30,10728,10728,53.74
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-09-02,10668,10668,53.51
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-09-03,10670,10670,53.58
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-09-04,10676,10676,53.61
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-09-05,10743,10743,54.23
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-09-06,10728,10728,54.23
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-09-09,10748,10748,54.43
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-09-10,10758,10758,54.53
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-09-11,10737,10737,54.53
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-09-12,10763,10763,54.92
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-09-13,10792,10792,55.41
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-09-17,10734,10734,55.72
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-09-18,10761,10761,55.94
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-09-19,10794,10794,56.44
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-09-20,10775,10775,56.53
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-09-24,10771,10771,56.67
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-09-25,10754,10754,56.7
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-09-26,10746,10746,56.9
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-09-27,10759,10759,57.13
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-09-30,10778,10778,57.21
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-01,10785,10785,57.43
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-02,10761,10761,57.5
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-03,10709,10709,57.54
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-04,10738,10738,57.82
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-07,10741,10741,57.9
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-08,10775,10775,58.56
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-09,10755,10755,58.65
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-10,10754,10754,58.79
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-11,10804,10804,59.14
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-15,10816,10816,59.47
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-16,10838,10838,59.81
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-17,10861,10861,60.2
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-18,10881,10881,60.69
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-21,10875,10875,60.77
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-23,10838,10838,60.72
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-24,10880,10880,61.53
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-25,10880,10880,61.57
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-28,10852,10852,61.56
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-29,10840,10840,61.57
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-30,10841,10841,61.8
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2019-10-31,10882,10882,62.16
