fund,date,nav,reinvest_nav,net_asset_value
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-05-13,9965,9965,160.65
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-05-16,9962,9962,160.29
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-05-17,9955,9955,159.73
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-05-18,9954,9954,159.55
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-05-19,9959,9959,159.4
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-05-20,9971,9971,160.47
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-05-23,9974,9974,160.57
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-05-24,9984,9984,160.59
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-05-25,9998,9998,162.22
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-05-26,9967,9967,161.03
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-05-27,9979,9979,160.93
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-05-30,9973,9973,160.82
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-05-31,9963,9963,160.53
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-01,9961,9961,160.53
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-02,9952,9952,164.78
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-03,9966,9966,164.66
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-06,9957,9957,162.71
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-07,9946,9946,161.8
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-08,9947,9947,161.82
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-09,9942,9942,162.56
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-10,9934,9934,162.01
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-13,9887,9887,161.5
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-14,9866,9866,160.6
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-15,9835,9835,160.78
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-16,9875,9875,161.27
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-17,9874,9874,161.04
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-20,9858,9858,160.18
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-21,9852,9852,159.98
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-22,9853,9853,160.06
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-23,9869,9869,160.28
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-24,9871,9871,160.08
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-27,9849,9849,161.25
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-28,9842,9842,160.41
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-29,9854,9854,160.59
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-06-30,9870,9870,160.62
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-07-01,9887,9887,161.01
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-07-04,9879,9879,165.27
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-07-05,9867,9867,164.46
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-07-06,9877,9877,163.09
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-07-07,9879,9879,162.79
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-07-08,9868,9868,162.64
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-07-11,9857,9857,163.02
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-07-12,9857,9857,162.5
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-07-13,9873,9873,162.97
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-07-14,9877,9877,163.08
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-07-15,9890,9890,164.12
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-07-19,9873,9873,163.94
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-07-20,9866,9866,163.3
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-07-21,9876,9876,163.7
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-07-22,9900,9900,164.19
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-07-25,9911,9911,164.28
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-07-26,9922,9922,165.64
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-07-27,9930,9930,165.49
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-07-28,9917,9917,165.08
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-07-29,9934,9934,165.75
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-01,9920,9920,165.9
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-02,9944,9944,171.09
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-03,9929,9929,170.17
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-04,9943,9943,167.9
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-05,9958,9958,167.74
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-08,9956,9956,167.55
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-09,9969,9969,168.54
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-10,9959,9959,167.46
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-12,9961,9961,167.65
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-15,9959,9959,167.51
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-16,9978,9978,168.69
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-17,9976,9976,168.81
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-18,9958,9958,168.45
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-19,9964,9964,168.58
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-22,9932,9932,167.97
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-23,9926,9926,167.7
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-24,9923,9923,167.64
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-25,9913,9913,169.23
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-26,9920,9920,168.69
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-29,9892,9892,168.2
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-30,9901,9901,168.06
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-08-31,9910,9910,168.23
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-09-01,9892,9892,168.0
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-09-02,9875,9875,172.32
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-09-05,9888,9888,172.71
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-09-06,9878,9878,169.8
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-09-07,9853,9853,169.1
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-09-08,9856,9856,168.98
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-09-09,9844,9844,169.35
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-09-12,9855,9855,169.18
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-09-13,9886,9886,169.95
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-09-14,9892,9892,170.1
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-09-15,9857,9857,170.35
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-09-16,9843,9843,170.34
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-09-20,9835,9835,170.12
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-09-21,9827,9827,169.77
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-09-22,9841,9841,169.97
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-09-26,9806,9806,169.36
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-09-27,9778,9778,170.76
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-09-28,9773,9773,169.82
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-09-29,9800,9800,169.74
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-09-30,9804,9804,169.49
ｅＭＡＸＩＳ Ｓｌｉｍ 国内債券インデックス,2022-10-03,9831,9831,169.96
