fund,date,nav,reinvest_nav,net_asset_value
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-09-06,11930,11930,566.39
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-09-09,11934,11934,567.27
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-09-10,11987,11987,570.37
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-09-11,12017,12017,572.32
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-09-12,12145,12145,579.0
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-09-13,12206,12206,581.71
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-09-17,12155,12155,581.88
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-09-18,12192,12192,583.36
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-09-19,12202,12202,585.48
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-09-20,12188,12188,586.69
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-09-24,12074,12074,581.27
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-09-25,11939,11939,575.75
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-09-26,12022,12022,579.64
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-09-27,12024,12024,581.23
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-09-30,12007,12007,581.25
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-01,12075,12075,585.28
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-02,11896,11896,577.64
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-03,11597,11597,571.37
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-04,11638,11638,573.94
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-07,11766,11766,581.39
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-08,11816,11816,585.17
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-09,11622,11622,577.53
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-10,11739,11739,584.4
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-11,11912,11912,595.35
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-15,12083,12083,605.7
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-16,12231,12231,614.03
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-17,12230,12230,616.65
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-18,12263,12263,618.65
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-21,12204,12204,615.42
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-23,12233,12233,617.25
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-24,12291,12291,621.97
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-25,12331,12331,625.7
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-28,12378,12378,628.14
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-29,12462,12462,632.93
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-30,12437,12437,632.11
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-10-31,12483,12483,634.74
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-11-01,12342,12342,627.48
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-11-05,12596,12596,641.19
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-11-06,12612,12612,650.19
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-11-07,12605,12605,652.21
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-11-08,12698,12698,657.15
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-11-11,12679,12679,656.48
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-11-12,12668,12668,656.33
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-11-13,12660,12660,657.58
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-11-14,12636,12636,657.41
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-11-15,12618,12618,657.28
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-11-18,12738,12738,664.04
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-11-19,12713,12713,666.63
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-11-20,12720,12720,668.72
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-11-21,12648,12648,666.2
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-11-22,12649,12649,667.61
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国株式インデックス（除く日本）,2019-11-25,12687,12687,670.07
